source_file,run_id,case_id,company_name,pred_financing_initiation,true_financing_initiation,financing_initiation_correct,pred_financing_completion,true_financing_completion,financing_completion_correct,pred_deal_type,true_deal_type,deal_type_correct,pred_valuation_direction,true_valuation_direction,valuation_direction_correct,pred_deal_size_usd_m,true_deal_size_usd_m,deal_size_abs_error_usd_m,deal_size_abs_pct_error,deal_size_within_25pct,deal_size_within_50pct
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,11830986_789374083T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,27.740525,350.0,322.259475,0.9207413571428572,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,11830986_816183250T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,up,True,500.0,250.0,250.0,1.0,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,55845274_269156833T,55845274,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,seed round,False,up,,,1.292857,3.142495,1.849638,0.588589003323792,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,56698470_648838575T,56698470,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,early stage vc,False,up,,,9.357143,,,,,
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,82237047_094939993T,82237047,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,0.5,0.8,0.30000000000000004,0.37500000000000006,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,108943275_242536412T,108943275,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,early stage vc,False,up,,,1.0,2.728363,1.7283629999999999,0.6334798558696185,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,123268600_221012973T,123268600,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,flat,,,9.357143,,,,,
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,134622385_526904228T,134622385,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,,,1.0,0.784,0.21599999999999997,0.2755102040816326,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,152916478_816603649T,152916478,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,seed round,False,up,,,10.0,3.743051,6.2569490000000005,1.6716173517272408,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,152916478_579647233T,152916478,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,seed round,False,up,up,True,10.0,0.5,9.5,19.0,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,218034134_459544862T,218034134,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,1.880102,3.592405,1.712303,0.4766453114278596,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,218034134_081995870T,218034134,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,10.0,3.774843,6.225156999999999,1.6491167977052288,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,218034134_879239922T,218034134,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,10.0,3.25,6.75,2.076923076923077,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,218034134_453064052T,218034134,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,up,True,10.0,21.749998,11.749998000000001,0.5402298427797557,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,218034134_154346820T,218034134,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,down,False,25.0,29.5,4.5,0.15254237288135594,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,218034134_219205641T,218034134,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,up,True,33.571429,56.0,22.428570999999998,0.4005101964285714,False,True
