case_id,stage,financing_initiation_prediction,financing_initiation_correct,financing_completion_prediction,financing_completion_correct,deal_type_prediction,deal_type_correct,valuation_direction_prediction,valuation_direction_correct,deal_size_prediction,deal_size_true,deal_size_abs_error,deal_size_abs_pct_error,deal_size_within_tolerance
11830986_789374083T,initial,raise_now,True,likely_complete,True,early stage vc,True,up,,26.428571,350.0,323.571429,0.9244897971428572,False
11830986_789374083T,round_1,raise_now,True,likely_complete,True,early stage vc,True,up,,27.040816,350.0,322.959184,0.9227405257142857,False
11830986_789374083T,round_2,raise_now,True,likely_complete,True,early stage vc,True,up,,27.740525,350.0,322.259475,0.9207413571428572,False
11830986_789374083T,round_3,raise_now,True,likely_complete,True,early stage vc,True,up,,27.740525,350.0,322.259475,0.9207413571428572,False
11830986_789374083T,final,raise_now,True,likely_complete,True,early stage vc,True,up,,27.740525,350.0,322.259475,0.9207413571428572,False
11830986_816183250T,initial,raise_now,True,likely_complete,True,early stage vc,False,up,True,500.0,250.0,250.0,1.0,False
11830986_816183250T,round_1,raise_now,True,likely_complete,True,early stage vc,False,up,True,500.0,250.0,250.0,1.0,False
11830986_816183250T,round_2,raise_now,True,likely_complete,True,early stage vc,False,up,True,500.0,250.0,250.0,1.0,False
11830986_816183250T,round_3,raise_now,True,likely_complete,True,early stage vc,False,up,True,500.0,250.0,250.0,1.0,False
11830986_816183250T,final,raise_now,True,likely_complete,True,early stage vc,False,up,True,500.0,250.0,250.0,1.0,False
55845274_269156833T,initial,raise_now,True,likely_complete,True,early stage vc,False,up,,1.292857,3.142495,1.849638,0.588589003323792,False
55845274_269156833T,round_1,raise_now,True,likely_complete,True,early stage vc,False,up,,1.292857,3.142495,1.849638,0.588589003323792,False
55845274_269156833T,round_2,raise_now,True,likely_complete,True,early stage vc,False,up,,1.292857,3.142495,1.849638,0.588589003323792,False
55845274_269156833T,round_3,raise_now,True,likely_complete,True,early stage vc,False,up,,1.292857,3.142495,1.849638,0.588589003323792,False
55845274_269156833T,final,raise_now,True,likely_complete,True,early stage vc,False,up,,1.292857,3.142495,1.849638,0.588589003323792,False
56698470_648838575T,initial,raise_now,True,likely_complete,True,early stage vc,True,up,,8.285714,,,,
56698470_648838575T,round_1,raise_now,True,likely_complete,True,seed round,False,up,,8.285714,,,,
56698470_648838575T,round_2,raise_now,True,likely_complete,True,seed round,False,up,,9.357143,,,,
56698470_648838575T,round_3,raise_now,True,likely_complete,True,seed round,False,up,,9.357143,,,,
56698470_648838575T,final,raise_now,True,likely_complete,True,seed round,False,up,,9.357143,,,,
82237047_094939993T,initial,raise_now,True,likely_complete,True,early stage vc,True,up,,0.517857,0.8,0.28214300000000003,0.35267875000000004,True
82237047_094939993T,round_1,raise_now,True,likely_complete,True,early stage vc,True,up,,0.5,0.8,0.30000000000000004,0.37500000000000006,True
82237047_094939993T,round_2,raise_now,True,likely_complete,True,early stage vc,True,up,,0.5,0.8,0.30000000000000004,0.37500000000000006,True
82237047_094939993T,round_3,raise_now,True,likely_complete,True,early stage vc,True,up,,0.5,0.8,0.30000000000000004,0.37500000000000006,True
82237047_094939993T,final,raise_now,True,likely_complete,True,early stage vc,True,up,,0.5,0.8,0.30000000000000004,0.37500000000000006,True
108943275_242536412T,initial,raise_now,True,likely_complete,True,seed round,False,up,,1.0,2.728363,1.7283629999999999,0.6334798558696185,False
108943275_242536412T,round_1,raise_now,True,likely_complete,True,seed round,False,up,,1.0,2.728363,1.7283629999999999,0.6334798558696185,False
108943275_242536412T,round_2,raise_now,True,likely_complete,True,seed round,False,up,,1.0,2.728363,1.7283629999999999,0.6334798558696185,False
108943275_242536412T,round_3,raise_now,True,likely_complete,True,seed round,False,up,,1.0,2.728363,1.7283629999999999,0.6334798558696185,False
108943275_242536412T,final,raise_now,True,likely_complete,True,seed round,False,up,,1.0,2.728363,1.7283629999999999,0.6334798558696185,False
123268600_221012973T,initial,raise_now,True,likely_complete,True,seed round,True,flat,,1.0,,,,
123268600_221012973T,round_1,raise_now,True,likely_complete,True,seed round,True,flat,,1.0,,,,
123268600_221012973T,round_2,raise_now,True,likely_complete,True,seed round,True,flat,,9.357143,,,,
123268600_221012973T,round_3,raise_now,True,likely_complete,True,seed round,True,flat,,9.357143,,,,
123268600_221012973T,final,raise_now,True,likely_complete,True,seed round,True,flat,,9.357143,,,,
134622385_526904228T,initial,raise_now,True,likely_complete,True,early stage vc,False,up,,1.0,0.784,0.21599999999999997,0.2755102040816326,True
134622385_526904228T,round_1,raise_now,True,likely_complete,True,seed round,True,up,,1.0,0.784,0.21599999999999997,0.2755102040816326,True
134622385_526904228T,round_2,raise_now,True,likely_complete,True,seed round,True,up,,1.0,0.784,0.21599999999999997,0.2755102040816326,True
134622385_526904228T,round_3,raise_now,True,likely_complete,True,seed round,True,up,,1.0,0.784,0.21599999999999997,0.2755102040816326,True
134622385_526904228T,final,raise_now,True,likely_complete,True,seed round,True,up,,1.0,0.784,0.21599999999999997,0.2755102040816326,True
152916478_816603649T,initial,raise_now,True,likely_complete,True,early stage vc,False,up,,10.0,3.743051,6.2569490000000005,1.6716173517272408,False
152916478_816603649T,round_1,raise_now,True,likely_complete,True,early stage vc,False,up,,10.0,3.743051,6.2569490000000005,1.6716173517272408,False
152916478_816603649T,round_2,raise_now,True,likely_complete,True,early stage vc,False,up,,10.0,3.743051,6.2569490000000005,1.6716173517272408,False
152916478_816603649T,round_3,raise_now,True,likely_complete,True,early stage vc,False,up,,10.0,3.743051,6.2569490000000005,1.6716173517272408,False
152916478_816603649T,final,raise_now,True,likely_complete,True,early stage vc,False,up,,10.0,3.743051,6.2569490000000005,1.6716173517272408,False
152916478_579647233T,initial,raise_now,True,likely_complete,True,early stage vc,False,up,True,10.0,0.5,9.5,19.0,False
152916478_579647233T,round_1,raise_now,True,likely_complete,True,early stage vc,False,up,True,10.0,0.5,9.5,19.0,False
152916478_579647233T,round_2,raise_now,True,likely_complete,True,early stage vc,False,up,True,10.0,0.5,9.5,19.0,False
152916478_579647233T,round_3,raise_now,True,likely_complete,True,early stage vc,False,up,True,10.0,0.5,9.5,19.0,False
152916478_579647233T,final,raise_now,True,likely_complete,True,early stage vc,False,up,True,10.0,0.5,9.5,19.0,False
218034134_459544862T,initial,raise_now,True,likely_complete,True,early stage vc,True,up,,1.821429,3.592405,1.7709759999999999,0.4929778240482351,True
218034134_459544862T,round_1,raise_now,True,likely_complete,True,early stage vc,True,up,,1.880102,3.592405,1.712303,0.4766453114278596,True
218034134_459544862T,round_2,raise_now,True,likely_complete,True,early stage vc,True,up,,1.880102,3.592405,1.712303,0.4766453114278596,True
218034134_459544862T,round_3,raise_now,True,likely_complete,True,early stage vc,True,up,,1.880102,3.592405,1.712303,0.4766453114278596,True
218034134_459544862T,final,raise_now,True,likely_complete,True,early stage vc,True,up,,1.880102,3.592405,1.712303,0.4766453114278596,True
218034134_081995870T,initial,raise_now,True,likely_complete,True,early stage vc,True,up,True,10.0,3.774843,6.225156999999999,1.6491167977052288,False
218034134_081995870T,round_1,raise_now,True,likely_complete,True,early stage vc,True,up,True,10.0,3.774843,6.225156999999999,1.6491167977052288,False
218034134_081995870T,round_2,raise_now,True,likely_complete,True,early stage vc,True,up,True,10.0,3.774843,6.225156999999999,1.6491167977052288,False
218034134_081995870T,round_3,raise_now,True,likely_complete,True,early stage vc,True,up,True,10.0,3.774843,6.225156999999999,1.6491167977052288,False
