case_id,company_name,role_field_changes,role_size_changes,role_satisfaction_changes,proposal_field_changes,proposal_size_delta,initial_proposal_size,final_proposal_size,initial_proposal_type,final_proposal_type,initial_proposal_valuation,final_proposal_valuation,final_deal_type,true_deal_type,final_valuation_direction,true_valuation_direction,final_deal_size_usd_m,true_deal_size_usd_m
11830986_789374083T,11830986,0,2,0,0,1.311954,26.428571,27.740525,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,27.740525,350.0
11830986_816183250T,11830986,0,0,0,0,0.0,500.0,500.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,up,500.0,250.0
55845274_269156833T,55845274,0,0,0,0,0.0,1.292857,1.292857,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Seed Round,up,unknown,1.292857,3.142495
56698470_648838575T,56698470,3,1,1,1,1.0714290000000002,8.285714,9.357143,Early Stage VC,Seed Round,up,up,Seed Round,Early Stage VC,up,unknown,9.357143,
82237047_094939993T,82237047,0,1,1,0,-0.017857000000000012,0.517857,0.5,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,0.5,0.8
108943275_242536412T,108943275,2,2,2,0,0.0,1.0,1.0,Seed Round,Seed Round,up,up,Seed Round,Early Stage VC,up,unknown,1.0,2.728363
123268600_221012973T,123268600,0,3,1,0,8.357143,1.0,9.357143,Seed Round,Seed Round,flat,flat,Seed Round,Seed Round,flat,unknown,9.357143,
134622385_526904228T,134622385,3,0,1,1,0.0,1.0,1.0,Early Stage VC,Seed Round,up,up,Seed Round,Seed Round,up,unknown,1.0,0.784
152916478_816603649T,152916478,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Seed Round,up,unknown,10.0,3.743051
152916478_579647233T,152916478,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Seed Round,up,up,10.0,0.5
218034134_459544862T,218034134,1,1,0,0,0.058672999999999975,1.821429,1.880102,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,1.880102,3.592405
218034134_081995870T,218034134,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,10.0,3.774843
218034134_879239922T,218034134,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,10.0,3.25
218034134_453064052T,218034134,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,up,10.0,21.749998
218034134_154346820T,218034134,0,0,0,0,0.0,25.0,25.0,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,down,25.0,29.5
218034134_219205641T,218034134,0,0,1,0,0.0,33.571429,33.571429,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,up,33.571429,56.0
218034134_144126445T,218034134,0,0,0,0,0.0,50.0,50.0,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,unknown,50.0,83.0
339444541_771219396T,339444541,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,10.0,1.0
374175356_767844503T,374175356,0,0,0,0,0.0,1.0,1.0,Seed Round,Seed Round,flat,flat,Seed Round,Early Stage VC,flat,unknown,1.0,0.18086457
374175356_090165516T,374175356,0,0,0,0,0.0,8.571429,8.571429,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,flat,8.571429,0.19359137
381597158_757264750T,381597158,0,0,0,0,0.0,0.964286,0.964286,Seed Round,Seed Round,up,up,Seed Round,Seed Round,up,unknown,0.964286,0.5
395080535_182107892T,395080535,3,3,2,1,9.0,1.0,10.0,Early Stage VC,Seed Round,up,up,Seed Round,Seed Round,up,unknown,10.0,13.520714
414460303_211651070T,414460303,0,0,0,0,0.0,15.0,15.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,unknown,15.0,8.65449364
420468035_511690561T,420468035,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,10.0,10.0
420468035_575477039T,420468035,0,0,0,0,0.0,10.0,10.0,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,unknown,10.0,38.8
437602468_696873542T,437602468,4,0,1,1,0.0,10.0,10.0,Early Stage VC,Seed Round,up,up,Seed Round,Later Stage VC,up,unknown,10.0,1.47444929
440112243_958212705T,440112243,0,4,2,0,8.642857,1.0,9.642857,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,9.642857,1.35948
470615116_012605103T,470615116,0,0,0,0,0.0,0.1,0.1,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Seed Round,up,unknown,0.1,2.4
498664659_416326831T,498664659,4,2,2,1,0.17857100000000004,1.821429,2.0,Early Stage VC,Seed Round,up,up,Seed Round,Seed Round,up,unknown,2.0,0.579923
514864801_404036528T,514864801,0,0,0,0,0.0,0.6,0.6,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,0.6,1.03780083
532341497_266608912T,532341497,4,3,0,1,8.357143,1.642857,10.0,Early Stage VC,Seed Round,up,up,Seed Round,Seed Round,up,unknown,10.0,2.331913
532476121_916845364T,532476121,0,4,2,0,9.0,1.0,10.0,Seed Round,Seed Round,up,up,Seed Round,Early Stage VC,up,unknown,10.0,2.0
532476121_216082716T,532476121,3,3,1,1,3.571429,5.0,8.571429,Early Stage VC,Seed Round,up,up,Seed Round,Later Stage VC,up,up,8.571429,6.456893
547069886_121337813T,547069886,2,1,1,1,-0.08241699999999952,13.928571,13.846154,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,unknown,13.846154,10.0
547069886_421335654T,547069886,4,2,2,1,0.0,25.0,25.0,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,unknown,25.0,46.89734952
550085105_987629757T,550085105,0,1,1,1,0.3571419999999996,8.571429,8.928571,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,8.928571,0.38615282
550085105_454903106T,550085105,0,0,0,0,0.0,1.078571,1.078571,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,up,1.078571,0.54467497
613912775_146007652T,613912775,0,0,0,0,0.0,0.964286,0.964286,Seed Round,Seed Round,up,up,Seed Round,Early Stage VC,up,unknown,0.964286,0.63061058
613912775_798380947T,613912775,2,0,0,1,0.0,8.571429,8.571429,Early Stage VC,Seed Round,up,up,Seed Round,Early Stage VC,up,down,8.571429,2.2426527
625322647_365842370T,625322647,2,1,0,1,1.9285720000000008,7.428571,9.357143,Early Stage VC,Seed Round,up,up,Seed Round,Seed Round,up,unknown,9.357143,0.42298255
627018345_056824043T,627018345,0,0,0,0,0.0,1.821429,1.821429,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Seed Round,up,unknown,1.821429,1.8825
627018345_496692556T,627018345,0,0,0,0,0.0,4.142857,4.142857,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,4.142857,0.999999
627018345_377129745T,627018345,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,10.0,7.00014
627018345_449868806T,627018345,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,10.0,9.999934
641096591_470066679T,641096591,0,0,0,0,0.0,0.964286,0.964286,Seed Round,Seed Round,up,up,Seed Round,Seed Round,up,unknown,0.964286,0.72285711
695406116_499898191T,695406116,0,0,0,0,0.0,6.142857,6.142857,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,6.142857,6.55919033
695406116_977223306T,695406116,0,0,0,0,0.0,10.357143,10.357143,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,flat,10.357143,7.64222742
695406116_843339679T,695406116,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,down,10.0,12.7034601
715033945_619516421T,715033945,1,2,0,1,-0.40816300000000005,1.714286,1.306123,Early Stage VC,Seed Round,up,up,Seed Round,Early Stage VC,up,unknown,1.306123,3.275
715033945_181019126T,715033945,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,10.0,15.000002
715033945_782061400T,715033945,0,1,1,0,-0.9230769999999993,23.846154,22.923077,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,up,22.923077,10.000004
719387351_143471987T,719387351,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Seed Round,up,unknown,10.0,4.170682
749494801_557473942T,749494801,0,0,0,0,0.0,1.0,1.0,Seed Round,Seed Round,up,up,Seed Round,Seed Round,up,unknown,1.0,3.3
749494801_437639184T,749494801,2,0,0,1,0.0,5.0,5.0,Early Stage VC,Seed Round,up,up,Seed Round,Seed Round,up,flat,5.0,6.0
811956194_422362760T,811956194,0,2,3,0,-0.357143,1.821429,1.464286,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,1.464286,5.07403412
811956194_984457418T,811956194,2,1,2,1,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,down,10.0,1.48504446
814334279_368343132T,814334279,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,unknown,10.0,1.2616651
814334279_212012873T,814334279,0,0,0,0,0.0,15.0,15.0,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,unknown,15.0,4.47705717
848991802_308266590T,848991802,1,0,0,1,0.0,6.142857,6.142857,Early Stage VC,Seed Round,up,up,Seed Round,Seed Round,up,unknown,6.142857,0.62592494
848991802_250474858T,848991802,0,2,2,0,-0.026586999999999916,1.25,1.223413,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,1.223413,1.89206973
873966444_911177755T,873966444,2,1,1,1,0.21428500000000006,1.821429,2.035714,Early Stage VC,Seed Round,up,up,Seed Round,Early Stage VC,up,unknown,2.035714,2.200532
873966444_698264161T,873966444,0,0,0,0,0.0,6.428571,6.428571,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,6.428571,10.272913
873966444_329054140T,873966444,0,0,0,0,0.0,15.0,15.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,up,15.0,25.000002
873966444_915471547T,873966444,0,0,0,0,0.0,50.0,50.0,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,up,50.0,60.000002
924462846_581849960T,924462846,0,2,2,0,0.17857100000000004,1.857143,2.035714,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,unknown,2.035714,1.32954772
924462846_585063651T,924462846,2,1,1,0,-0.1785709999999998,5.0,4.821429,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,4.821429,2.23332355
924462846_941227886T,924462846,0,0,1,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Early Stage VC,up,up,10.0,3.87894254
924462846_205213706T,924462846,0,0,0,0,0.0,10.0,10.0,Early Stage VC,Early Stage VC,up,up,Early Stage VC,Later Stage VC,up,down,10.0,2.9322216
924462846_242496413T,924462846,0,0,0,0,0.0,10.357143,10.357143,Later Stage VC,Later Stage VC,up,up,Later Stage VC,Later Stage VC,up,up,10.357143,4.18117477
