case_id,stage,financing_initiation_prediction,financing_initiation_correct,financing_completion_prediction,deal_type_prediction,deal_type_correct,valuation_direction_prediction,valuation_direction_correct,deal_size_prediction,deal_size_true,deal_size_abs_error,deal_size_abs_pct_error,deal_size_within_tolerance,post_money_valuation_prediction,post_money_valuation_true,post_money_valuation_abs_error,post_money_valuation_abs_pct_error,post_money_valuation_within_tolerance,investor_ownership_prediction,investor_ownership_true,investor_ownership_abs_error,investor_ownership_abs_pct_error,investor_ownership_within_tolerance
4790087_197130868T,initial,raise_now,True,likely_complete,early stage vc,False,up,,10.0,0.06745,9.93255,147.25796886582657,False,50.0,,,,,20.0,,,,
4790087_197130868T,round_1,raise_now,True,likely_complete,early stage vc,False,up,,10.0,0.06745,9.93255,147.25796886582657,False,50.0,,,,,20.0,,,,
4790087_197130868T,round_2,raise_now,True,likely_complete,early stage vc,False,up,,10.0,0.06745,9.93255,147.25796886582657,False,50.0,,,,,20.0,,,,
4790087_197130868T,round_3,raise_now,True,likely_complete,early stage vc,False,up,,10.0,0.06745,9.93255,147.25796886582657,False,50.0,,,,,20.0,,,,
4790087_197130868T,final,raise_now,True,likely_complete,early stage vc,False,up,,10.0,0.06745,9.93255,147.25796886582657,False,50.0,,,,,20.0,,,,
11830986_813677134T,initial,raise_now,True,likely_complete,seed round,False,up,,8.571429,110.75,102.178571,0.9226056072234764,False,42.857143,,,,,21.428571,,,,
11830986_813677134T,round_1,raise_now,True,likely_complete,seed round,False,up,,9.642857,110.75,101.10714300000001,0.9129313137697518,False,48.214286,,,,,20.357143,,,,
11830986_813677134T,round_2,raise_now,True,likely_complete,seed round,False,up,,9.642857,110.75,101.10714300000001,0.9129313137697518,False,48.214286,,,,,20.357143,,,,
11830986_813677134T,round_3,raise_now,True,likely_complete,seed round,False,up,,9.642857,110.75,101.10714300000001,0.9129313137697518,False,48.214286,,,,,20.357143,,,,
11830986_813677134T,final,raise_now,True,likely_complete,seed round,False,up,,9.642857,110.75,101.10714300000001,0.9129313137697518,False,48.214286,,,,,20.357143,,,,
11830986_549655044T,initial,raise_now,True,likely_complete,early stage vc,True,up,,110.75,17.607315,93.142685,5.289999355381556,False,275.0,,,,,23.928571,,,,
11830986_549655044T,round_1,raise_now,True,likely_complete,early stage vc,True,up,,110.75,17.607315,93.142685,5.289999355381556,False,269.642857,,,,,23.163265,,,,
