nohup: ignoring input
Found outputs/batch/pitchbook_007/run_001/results.jsonl with 198 rows; expected 212. Resuming remaining cases.
Starting run_001: 212 cases.
run_001: resuming with 198/212 completed cases.
run_001: skip completed case 1/212 4790087_197130868T
run_001: skip completed case 2/212 11830986_813677134T
run_001: skip completed case 3/212 11830986_549655044T
run_001: skip completed case 4/212 11830986_069610272T
run_001: skip completed case 5/212 11830986_789374083T
run_001: skip completed case 6/212 11830986_816183250T
run_001: skip completed case 7/212 11830986_293087727T
run_001: skip completed case 8/212 11982935_342853943T
run_001: skip completed case 9/212 26050294_545686821T
run_001: skip completed case 10/212 55845274_951718297T
run_001: skip completed case 11/212 55845274_269156833T
run_001: skip completed case 12/212 56698470_648838575T
run_001: skip completed case 13/212 56698470_418076218T
run_001: skip completed case 14/212 65829781_596811480T
run_001: skip completed case 15/212 65829781_005051561T
run_001: skip completed case 16/212 82237047_660939529T
run_001: skip completed case 17/212 82237047_094939993T
run_001: skip completed case 18/212 82237047_302141975T
run_001: skip completed case 19/212 87512028_605122136T
run_001: skip completed case 20/212 87512028_919782061T
run_001: skip completed case 21/212 97714444_926438972T
run_001: skip completed case 22/212 101676742_333240762T
run_001: skip completed case 23/212 103281360_917957046T
run_001: skip completed case 24/212 108943275_273554390T
run_001: skip completed case 25/212 108943275_242536412T
run_001: skip completed case 26/212 123268600_158462168T
run_001: skip completed case 27/212 123268600_221012973T
run_001: skip completed case 28/212 123268600_143058813T
run_001: skip completed case 29/212 134622385_526904228T
run_001: skip completed case 30/212 134622385_762593770T
run_001: skip completed case 31/212 134622385_571168881T
run_001: skip completed case 32/212 145718938_867839336T
run_001: skip completed case 33/212 152916478_891084665T
run_001: skip completed case 34/212 152916478_770543621T
run_001: skip completed case 35/212 152916478_816603649T
run_001: skip completed case 36/212 152916478_579647233T
run_001: skip completed case 37/212 178378902_721357216T
run_001: skip completed case 38/212 197258275_777840969T
run_001: skip completed case 39/212 197258275_428207586T
run_001: skip completed case 40/212 218034134_459544862T
run_001: skip completed case 41/212 218034134_081995870T
run_001: skip completed case 42/212 218034134_879239922T
run_001: skip completed case 43/212 218034134_453064052T
run_001: skip completed case 44/212 218034134_154346820T
run_001: skip completed case 45/212 218034134_219205641T
run_001: skip completed case 46/212 218034134_432173479T
run_001: skip completed case 47/212 218034134_144126445T
run_001: skip completed case 48/212 218034134_616369767T
run_001: skip completed case 49/212 218034134_402957630T
run_001: skip completed case 50/212 231347739_136848807T
run_001: skip completed case 51/212 231347739_333822497T
run_001: skip completed case 52/212 231347739_424651955T
run_001: skip completed case 53/212 235333785_926885698T
run_001: skip completed case 54/212 235333785_512198052T
run_001: skip completed case 55/212 235333785_967381543T
run_001: skip completed case 56/212 237064839_347016227T
run_001: skip completed case 57/212 237064839_464653343T
run_001: skip completed case 58/212 237064839_984415763T
run_001: skip completed case 59/212 237064839_429896018T
run_001: skip completed case 60/212 237064839_294402250T
run_001: skip completed case 61/212 237064839_250030501T
run_001: skip completed case 62/212 244615093_239723562T
run_001: skip completed case 63/212 251218500_987004488T
run_001: skip completed case 64/212 258737782_154380057T
run_001: skip completed case 65/212 258737782_024706118T
run_001: skip completed case 66/212 259017326_200002115T
run_001: skip completed case 67/212 272749505_362847404T
run_001: skip completed case 68/212 282137071_852523686T
run_001: skip completed case 69/212 309612945_230497494T
run_001: skip completed case 70/212 314608694_756469071T
run_001: skip completed case 71/212 318177349_458794049T
run_001: skip completed case 72/212 331443735_753371340T
run_001: skip completed case 73/212 339444541_771219396T
run_001: skip completed case 74/212 374175356_767844503T
run_001: skip completed case 75/212 374175356_090165516T
run_001: skip completed case 76/212 374175356_555208307T
run_001: skip completed case 77/212 374175356_813472702T
run_001: skip completed case 78/212 381204631_481335027T
run_001: skip completed case 79/212 381597158_757264750T
run_001: skip completed case 80/212 395080535_182107892T
run_001: skip completed case 81/212 399940332_166825866T
run_001: skip completed case 82/212 407502233_884022872T
run_001: skip completed case 83/212 412585624_025651118T
run_001: skip completed case 84/212 414460303_211651070T
run_001: skip completed case 85/212 420468035_962848541T
run_001: skip completed case 86/212 420468035_511690561T
run_001: skip completed case 87/212 420468035_794461215T
run_001: skip completed case 88/212 420468035_575477039T
run_001: skip completed case 89/212 437602468_696873542T
run_001: skip completed case 90/212 438636443_443797508T
run_001: skip completed case 91/212 438636443_873703575T
run_001: skip completed case 92/212 440112243_958212705T
run_001: skip completed case 93/212 448395548_406056984T
run_001: skip completed case 94/212 461069674_595078018T
run_001: skip completed case 95/212 461069674_835937778T
run_001: skip completed case 96/212 464792275_466392313T
run_001: skip completed case 97/212 464792275_666771444T
run_001: skip completed case 98/212 470615116_034207575T
run_001: skip completed case 99/212 470615116_012605103T
run_001: skip completed case 100/212 470615116_707165066T
run_001: skip completed case 101/212 470615116_175642053T
run_001: skip completed case 102/212 475833516_817945631T
run_001: skip completed case 103/212 475833516_479374908T
run_001: skip completed case 104/212 475833516_289782756T
run_001: skip completed case 105/212 480864606_323992104T
run_001: skip completed case 106/212 492919674_179212744T
run_001: skip completed case 107/212 498664659_416326831T
run_001: skip completed case 108/212 498664659_475788454T
run_001: skip completed case 109/212 498664659_127876786T
run_001: skip completed case 110/212 498664659_910413812T
run_001: skip completed case 111/212 507882550_218425636T
run_001: skip completed case 112/212 507882550_824010376T
run_001: skip completed case 113/212 507882550_032913579T
run_001: skip completed case 114/212 507932721_999705580T
run_001: skip completed case 115/212 514864801_433459794T
run_001: skip completed case 116/212 514864801_404036528T
run_001: skip completed case 117/212 521994069_105951505T
run_001: skip completed case 118/212 521994069_403809583T
run_001: skip completed case 119/212 521994069_320669634T
run_001: skip completed case 120/212 532341497_266608912T
run_001: skip completed case 121/212 532476121_916845364T
run_001: skip completed case 122/212 532476121_216082716T
run_001: skip completed case 123/212 547069886_622250329T
run_001: skip completed case 124/212 547069886_658647050T
run_001: skip completed case 125/212 547069886_055905717T
run_001: skip completed case 126/212 547069886_965135854T
run_001: skip completed case 127/212 547069886_121337813T
run_001: skip completed case 128/212 547069886_073546620T
run_001: skip completed case 129/212 547069886_421335654T
run_001: skip completed case 130/212 550085105_987629757T
run_001: skip completed case 131/212 550085105_454903106T
run_001: skip completed case 132/212 561552348_175210801T
run_001: skip completed case 133/212 613912775_146007652T
run_001: skip completed case 134/212 613912775_798380947T
run_001: skip completed case 135/212 613912775_710184722T
run_001: skip completed case 136/212 617768550_348397524T
run_001: skip completed case 137/212 625322647_365842370T
run_001: skip completed case 138/212 627018345_056824043T
run_001: skip completed case 139/212 627018345_496692556T
run_001: skip completed case 140/212 627018345_377129745T
run_001: skip completed case 141/212 627018345_449868806T
run_001: skip completed case 142/212 641096591_470066679T
run_001: skip completed case 143/212 641096591_381168485T
run_001: skip completed case 144/212 641096591_979600248T
run_001: skip completed case 145/212 647037600_894423158T
run_001: skip completed case 146/212 647037600_445584285T
run_001: skip completed case 147/212 648433679_100432341T
run_001: skip completed case 148/212 648433679_703984858T
run_001: skip completed case 149/212 673087256_648833497T
run_001: skip completed case 150/212 695406116_499898191T
run_001: skip completed case 151/212 695406116_977223306T
run_001: skip completed case 152/212 695406116_843339679T
run_001: skip completed case 153/212 712239740_964247306T
run_001: skip completed case 154/212 715033945_619516421T
run_001: skip completed case 155/212 715033945_181019126T
run_001: skip completed case 156/212 715033945_782061400T
run_001: skip completed case 157/212 715033945_910469984T
